Id,Title,Author,Description,Rating,ISBN,ISBN13,Publish,URL
50010,The Gospel According to Jesus,John F. MacArthur Jr.,"What did Jesus mean when he said ""Follow me""? MacArthur warns against ""easy believism,"" explains his understanding of biblical faith and works, emphasizes the cost of discipleship, and reinforces his conviction that there's no eternal life without surrender to the lordship of Christ. Softcover from Zondervan.",4.42,0310286514,9780310286516,November 1st 1989 by Zondervan Publishing Company (first published 1988),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382904645l/50010.jpg
50011,The Gospel of Jesus: According to the Jesus Seminar,Robert W. Funk,A new gospel composed from only those texts that the Jesus Seminar found likely to be historically authentic.,3.90,0944344747,9780944344743,March 1st 1999 by Polebridge Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348241291l/50011.jpg
50012,The Gospel According to Jesus' Enemies: Services and Sermons for Lent,Dann J. Ettner,"Imagine lining up the enemies of Jesus and asking them why they said what they did about him; why they did what they did to him. Imagine no longer. Dann Ettner has done exactly that. Along with an order of worship, which includes a responsive dialogue, a """"Gospel Speech Drama"""" and original lyrics to familiar hymn tunes, Ettner has created six monologues portraying the enemies of Jesus. Monologue characters include: Caiaphas the High Priest .An Arresting Soldier A Member of the Crowd who shouted """"Crucify Him"""" Pilate The Centurion The Grave Guard These services and testimonials will take listeners back in time to judge for themselves how God actually moved these enemies of Jesus to speak words of truth about the Son of God. They are perfect for either mid-week Lenten services or for the Sundays of Lent. Dann J. Ettner, a lieutenant in the United States Air Force, is a Lutheran pastor serving Faith Lutheran Church in Pasadena, California. He is a graduate of California Lutheran College and Concordia Theological Seminary. He is the author of numerous articles and the book Seven Days Of Creation. ",2.00,0788002937,9780788002939,January 1st 1995 by C S S Publishing Company,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347809572l/50012.jpg
50013,Let's All Kill Constance,Ray Bradbury,"On a dismal evening in the previous century, an unnamed writer in Venice, California, answers a furious pounding at his beachfront bungalow door and again admits Constance Rattigan into his life. An aging, once-glamorous Hollywood star, Constance is running in fear from something she dares not acknowledge -- and vanishes as suddenly as she appeared, leaving the narrator two macabre books: twin listings of the Tinseltown dead and soon to be dead, with Constance's name included among them. And so begins an odyssey as dark as it is wondrous, as the writer sets off in a broken-down jalopy with his irascible sidekick Crumley to sift through the ashes of a bygone Hollywood -- a graveyard of ghosts and secrets where each twisted road leads to grim shrines and shattered dreams ... and, all too often, to death.",3.03,0060561785,9780060561789,December 30th 2003 by Avon (first published December 2002),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410129440l/50013.jpg
50014,A Sound of Thunder and Other Stories,Ray Bradbury,"A spaceship captain determined to gather a cupful of the sun. . .a nubile young witch who yearns to taste human love. . .an expedition that hunts dinosaurs across the fragile and dangerous chasm of time. . . These strange and wonderful tales of beauty and terror will transport you from the begininng of time to the outermost limits of the future. Selected from his best-selling collections ""The Golden Apples Of The Sun"" and ""R Is For Rocket,"" here are thirty-two superb stories from one of the master fantastics of our age--the inimitable Ray Bradbury.",4.20,0060785691,9780060785697,August 30th 2005 by William Morrow Paperbacks (first published 1952),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407107292l/50014.jpg
50015,Death Is a Lonely Business,Ray Bradbury,"Ray Bradbury, the undisputed Dean of American storytelling, dips his accomplished pen into the cryptic inkwell of noir and creates a stylish and slightly fantastical tale of mayhem and murder set among the shadows and the murky canals of Venice, California, in the early 1950s.Toiling away amid the looming palm trees and decaying bungalows, a struggling young writer (who bears a resemblance to the author) spins fantastic stories from his fertile imagination upon his clacking typewriter. Trying not to miss his girlfriend (away studying in Mexico), the nameless writer steadily crafts his literary effort--until strange things begin happening around him.Starting with a series of peculiar phone calls, the writer then finds clumps of seaweed on his doorstep. But as the incidents escalate, his friends fall victim to a series of mysterious ""accidents""--some of them fatal. Aided by Elmo Crumley, a savvy, street-smart detective, and a reclusive actress of yesteryear with an intense hunger for life, the wordsmith sets out to find the connection between the bizarre events, and in doing so, uncovers the truth about his own creative abilities.",3.77,0380789655,9780380789658,March 1st 1999 by William Morrow Paperbacks (first published 1985),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1272145994l/50015.jpg
50017,Kriminalität im Grenzgebiet: Band 7: Das Strafverfahrensgesetzbuch der Republik Polen (Kodeks postepowania karnego) (Schriftenreihe der Juristischen Fakultät ... Viadrina Frankfurt (Oder)),Gerhard Wolf,"Der Tagungsband dokumentiert die Diskussion zentraler Probleme des am 6. Juni 1997 vom polnischen Parlament verabschiedeten Strafverfahrensgesetzbuches. Die Analyse der Gemeinsamkeiten und Unterschiede zwischen den Strafverfahrensgesetzb chern der beiden L nder ist vor allem deshalb lohnend, weil die neue polnische Kodifikation zahlreiche Regelungen enth lt, die zwar in Deutschland ebenfalls diskutiert bzw. praktiziert werden, in der Strafprozessordnung aber (noch) fehlen.",0.00,3540404228,9783540404224,July 22nd 2003 by Springer (first published 2003),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370229094l/50017.jpg
50020,Kriminalitdt Im Grenzgebiet: Band 4: Strafverfahren Gegen Ausldnder in Der Republik Polen (Schriftenreihe der Juristischen Fakultät der Europa-Universität Viadrina Frankfurt (Oder)),Gerhard Wolf,"Der Band dokumentiert die Ergebnisse einer Tagung zur Rechtsstellung eines ausl ndischen Beschuldigten vor polnischen Gerichten. Damit bildet das Buch spiegelbildlich das Gegenst ck zu der als Band 3 der Reihe erschienenen Publikation ""Ausl nder vor deutschen Gerichten."" Das Verfahren gegen ausl ndische Beschuldigte kann als Testfall f r die Rechtsstaatlichkeit, aber auch die praktische Handhabbarkeit des Strafverfahrensrechts im Alltag gelten. Im Vordergrund stehen Probleme der sprachlichen Verst ndigung und einer ausreichenden Verteidigung des Beschuldigten. Dar ber hinaus werden vor allem auch die im polnischen Recht vorgesehenen verfahrensrechtlichen Besonderheiten sowie die M glichkeiten der bernahme und bergabe der Strafvollstreckung eingehend behandelt.",0.00,354042475X,9783540424758,March 25th 2002 by Springer (first published 2002),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348243543l/50020.jpg
50021,Terrorism and Homeland Security: An Introduction,Jonathan R. White,"White's TERRORISM: AN INTRODUCTION, a perennial best-seller, is recognized as the most objective terrorism book in the market. In the latest edition, White has rewritten and incorporated parts of his two books DEFENDING THE HOMELAND and TERRORISM to create one new comprehensive text. To reflect this change, the title has been updated to TERRORISM AND HOMELAND SECURITY: AN INTRODUCTION, Fifth Edition. TERRORISM AND HOMELAND SECURITY: AN INTRODUCTION, Fifth Edition strives to discuss the most sophisticated theories by the best terrorist analysts in the world, while still focusing on the domestic and international threats of terrorism and the basic security issues that surround terrorism today. The student-oriented writing style is complemented by rich pedagogy, and there is an adequate amount of research and theoretical discussion to make this the ideal text for both the undergraduate- and graduate-level courses.",3.51,,,July 1st 2005 by Wadsworth Publishing Company,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388366460l/50021.jpg
50022,Introduction to Homeland Security,Jane A. Bullock,"INTRODUCTION TO HOMELAND SECURITY was the first book to provide practitioners, educators, and students with a comprehensive account of the original and ongoing developments in the Department of Homeland Security's reorganization, as well as the practices, policies and programs enacted in relation to the government restructure. The new edition continues to prove the standard in providing the latest information on the developments in national security in the context of DHS.Continuing in the tradition of the first edition, the book recounts US Government and private sector actions taken since 9/11 in the areas of legislation, government organization, communications, technology, and emergency management practices. It is packed with reference sections, notations directing the reader to relevant publications and websites, and contributions from media reports or experts. Case studies provide insightful guidance for security managers having to deal effectively with similar situations.",3.52,0750679921,9780750679923,April 1st 2006 by Butterworth-Heinemann (first published September 1st 2004),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170366279l/50022._SX318_.jpg
50023,"Defending the Homeland: Domestic Intelligence, Law Enforcement, and Security",Jonathan R. White,"The United States government is reorganizing to increase domestic security. How will these changes impact the American criminal justice system? DEFENDING THE HOMELAND: DOMESTIC INTELLIGENCE, LAW ENFORCEMENT, AND SECURITY is the only book that illustrates up-to-the minute information on how our criminal justice system has changed since 9/11. Written by an expert on academic leave to provide training for the Department of Defense, White provides an insider's look at issues related to restructuring of federal law enforcement and recent policy challenges. The book discusses the problem of bureaucracy, interaction between the law enforcement and intelligence communities, civil liberties, and theories of war and police work. From a practical perspective, the book examines offensive and defensive strategies. The book gives an introduction to violent international religious terrorism and an overview of domestic terrorist problems still facing law enforcement.",3.44,0534621694,9780534621698,April 2nd 2003 by Cengage Learning,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388452281l/50023.jpg
50024,I Sing the Body Electric!,Ray Bradbury,"The mind of Ray Bradbury is a wonder-filled carnival of delight and terror that stretches from the verdant Irish countryside to the coldest reaches of outer space. Yet all his work is united by one common thread: a vivid and profound understanding of the vast seet of emotionsthat bring strength and mythic resonance to our frail species. Ray Bradbury characters may find themselves anywhere and anywhen. A horrified mother may give birth to a strange blue pyramid. A man may take Abraham Linkoln out of the graveand meet another who puts him back. An amazing Electrical Grandmother may come to live with a grieving family. An old parrort may have learned over long evenings to imitate the voice of Ernest Hemingway, and become the last link to the last link to the great man. A priest on Mars may confront his fondest dream: to meet the Messiah. Each of these magnificient creations has something to tell us about our own humanityand all of their fates await you in this new trade edition of twenty-eight classic Bradbury stories and one luscious poem. Travel on an unpredictable and unforgettable literary journeysafe in the hands of the century's great men of imagination.The mind of Ray Bradbury is a wonder-filled carnival of delight and terror that stretches from the verdant Irish countryside to the coldest reaches of outer space. Yet all his work is united by one common thread: a vivid and profound understanding of the vast set of emotions that bring strength and mythic resonance to our frail species. Ray Bradbury characters may find themselves anywhere and anywhen. A horrified mother may give birth to a strange blue pyramid. A man may take Abraham Lincoln out ofthe graveand meet another who puts him back. An amazing Electrical Grandmother may come to live with a grieving family. An old parrot may have learned over long evenings to imitate the voice of Ernest Hemingway, and became the last link to the great man. A priest on Mars may confront his fondest dream: to meet the Messiah. Each of these magnificent creations has something to tell us about our humanityand all of their fates await you in this new trade edition of twenty-eight classic Bradbury stories and one luscious poem. Travel on an unpredictable and unforgettable literary journeysafe in the hands of one the century's great men of imagination.",4.05,0394429850,9780394429854,October 12th 1969 by Alfred A. Knopf (first published August 1969),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1209247428l/50024.jpg
50025,The Dragon Who Ate His Tail,Ray Bradbury,"PREVIOUSLY UNPUBLISHED RAY BRADBURY SHORT STORY PLUS FRAGMENTS, VARIATIONS AND A SCREENPLAY BASED ON THE STORY",3.70,1887368914,9781887368919,January 4th 2007 by Gauntlet Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348943924l/50025.jpg
50026,They Have Not Seen the Stars: The Collected Poetry of Ray Bradbury,Ray Bradbury,"The eminence of Ray Bradbury in American literature is beyond question. For more than half a century now his short stories and novels -- and the television shows and movies drawn from them -- have delighted and inspired generations. His prose and the worlds he wove from it have captured the hearts and imaginations of millions throughout the world. But the man who brought us Montag the book-burning fireman of Fahrenheit 451, who captured lost summers in Dandelion Wine and the darkening autumnal tones of late boyhood in Something Wicked This Way Comes has always had another mistress: Poetry. As the author himself explains in the Foreword written especially for this volume -- a Foreword that is itself classic Bradbury in its nostalgic evocation of long-gone days and people -- poetry was his first literary love and for years he has been laying at her door the flowers of his imagination that comprise the marvelous contents of this book. It seems inconceivable that there could still be little-known treasures in the work of such a celebrated wordsmith, yet treasures there are -- buried for too long but now rediscovered and brought back to the world in this first collected edition.",3.63,1588810380,9781588810380,July 1st 2002 by Stealth Pr (first published 2001),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170366280l/50026.jpg
50027,Homeland,R.A. Salvatore,"Drow ranger Drizzt Do'Urden, first introduced in The Icewind Dale Trilogy, quickly became one of the fantasy genre's standout characters. But Homeland first reveals the startling tale of how this one lone drow walked out of the shadowy depths of the Underdark, leaving behind a society of evil and a family who want him dead. It is here that the story of this amazing dark elf truly began.",4.25,,,December 1st 2005 by Wizards of the Coast (first published September 19th 1990),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631983063l/50027._SY475_.jpg
50028,Conversations with Ray Bradbury,Ray Bradbury,"BIOGRAPHY ] LITERARY CRITICISM This collection of interviews captures the imagination of the writer widely regarded as ""the granddaddy of science fiction."" However, Ray Bradbury considers Fahrenheit 451 to be his only science-fiction novel and his others, including The Martian Chronicles, Something Wicked This Way Comes, and The Illustrated Man, to be more fantasy and horror than science fiction.Bradbury, born in 1920, began reading voraciously quite early. He enjoyed the pulp magazine Amazing Stories when it first appeared. He came to maturity just before World War II, when Nazis were firing V-1 and V-2 rockets at Britain, and began writing fiction as the space age was coming to full stride. In addition to having a moon crater named in his honor, he has received science fiction's Nebula Grandmaster Award for his lifetime achievements and in 2000 the National Book Foundation's Medal for Distinguished Contribution to American Letters.""The writer's vocabulary need not be extensive,"" Bradbury says. ""He shouldn't throw unusual words at the reader, but I do believe in using the right word. The reader should be given something more than the basic meaning by the use of words that are dynamic and colorful, that provide pictures for the reader.""Since 1941, when Super Science Stories bought his first story, Bradbury has written and published hundreds of short stories, as well as novels, essays, dramas, operas, teleplays, poems, and screenplays. His film work in Ireland crafting the screenplay for John Huston's Moby-Dick in 1954 established Bradbury as a fixture in Hollywood. Versions of his works have been shown on all the major networks, and USA Network produced sixty-five of his teleplays for The Ray Bradbury Theater.During his career Bradbury has given more than 300 interviews. The selection included in this volume begins in 1948, spans more than five decades, and charts Bradbury's long creative life.A recent Ph.D. graduate from Florida State University, Steven Aggelis teaches at Tallahassee Community College.",4.34,1578066417,9781578066414,June 4th 2004 by University Press of Mississippi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348530468l/50028.jpg
50029,Welcome to the Homeland: A Journey to the Rural Heart of America's Conservative Revolution,Brian Mann,"After George Bush's stunning reelection in 2004, newspaper headlines such as Rural Values Proved Pivotal summed up the story, and the outcome left tens of millions of urban Americans baffled and outraged. America's political divide is not between red states and blue states. The divide is between counties in every state in the nation, and this urban--rural schism is the new frontier in America's culture war. For the first time, Welcome to the Homeland explores the radically different culture evolving just over the horizon of our urban beltways, and explains how Homelanders - Mann's name for the nation's fifty million rural whites - have managed to dominate the conservative base of the Republican Party, the Senate, and the Supreme Court, and to use the electoral college, which favors small states, to their advantage. Ultimately, Homelanders are fighting to create a new national culture, one rooted in the traditional values of nineteenth-century America. In a nation that grows more urban and multiracial every year, how did Homelanders seize so much power? In a unique blend of travelogue, political analysis, and family memoir, Mann unveils a grassroots movement that has done the impossible, reversing the urban tide of American politics.",3.27,1586421115,9781586421113,September 22nd 2006 by Steerforth Press (first published August 22nd 2006),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386749191l/50029.jpg
50030,In Search of a Homeland: The Story of the Aeneid,Penelope Lively,"The fall of Troy, the wanderings of Aeneas, the descent into the underworld -- these phrases from Virgil?s seminal story continue to resonate more than 2,000 years after he wrote it, and Penelope Lively retells this timeless tale with pitch-perfect pacing, poignancy, and drama. The story begins with Aeneas escaping from the sacked city of Troy with his son and father and an important task given by his mother, Venus: He must find a new home for his people. Readers accompany him on his adventure and danger awaits him around every corner. He battles monsters and giants, the elements, and makes a terrifying descent into the underworld where he is allowed a glimpse into the future. Ian Andrew?s illustrations evocatively interpret the mortals, gods and goddesses, and the epic backdrops of this classic tale. This accessible and enthralling introduction to The Aeneid takes its place alongside Rosemary Sutcliff?s classic retellings of Homer?s Iliad and Odyssey. Included are a Latin pronunciation guide and a map of Aeneas?s extraordinary quest.",3.67,1845076850,9781845076856,October 23rd 2006 by Lincoln Children's Books (first published June 30th 2006),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388966294l/50030.jpg
50031,Ray Bradbury: The Life of Fiction,Jonathan R. Eller,"Ray Bradbury: The Life of Fiction is the first comprehensive textual, bibliographical, and cultural study of sixty years of Bradbury's fiction. Drawing on correspondence with his publishers, agents, and friends, as well as archival manuscripts, The Life of Fiction examines the story of Bradbury's authorship over more than a half-century, from his earliest writings, which include The Martian Chronicles, to his most recently published novel, Let's All Kill Constance. It shows in detail the often devious and unsuspected interconnections between his unpublished fiction, his story collections, and his most celebrated novels.",4.44,0873387791,9780873387798,May 24th 2004 by Kent State University Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348745880l/50031.jpg
50032,The United States Department of Homeland Security: An Overview,Richard White,"The Department of Homeland Security: An Overview  is the single source to help you understand the Department of Homeland Security. It provides a comprehensive overview of the Department's history, mission, organization, and programs designed to reduce America's vulnerability to attack and quickly recover from disaster. Learn about:  The Terrorist ThreatHomeland Security StrategyWarning and AnalysisCritical Infrastructure ProtectionBorder and Transportation SecurityPlanning ScenariosEmergency PreparednessEmergency ResponseFirst RespondersThe National Exercise ProgramHomeland DefenseHomeland Security LegislationScience & Technology InitiativeThe New ReorganizationAmerica's New Normalcy & The Future This book takes a strategic look at the Department of Homeland Security and answers the key questions: ""What is DHS?,"" ""Why do we need it?,"" and ""How does it protect America?""",4.50,,,December 29th 2005 by Pearson Learning Solutions (first published December 19th 2005),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372037643l/50032.jpg
50033,Dandelion Wine,Ray Bradbury,"The summer of '28 was a vintage season for a growing boy. A summer of green apple trees, mowed lawns, and new sneakers. Of half-burnt firecrackers, of gathering dandelions, of Grandma's belly-busting dinner. It was a summer of sorrows and marvels and gold-fuzzed bees. A magical, timeless summer in the life of a twelve-year-old boy named Douglas Spaulding—remembered forever by the incomparable Ray Bradbury.Woven into the novel are the following short stories: Illumination, Dandelion Wine, Summer in the Air, Season of Sitting, The Happiness Machine, The Night, The Lawns of Summer, Season of Disbelief, The Last--the Very Last, The Green Machine, The Trolley, Statues, The Window, The Swan, The Whole Town's Sleeping, Goodbye Grandma, The Tarot Witch, Hotter Than Summer, Dinner at Dawn, The Magical Kitchen, Green Wine for Dreaming.",4.07,0671037706,9780671037703,July 2000 by Earthlight (UK) (first published September 1957),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374049845l/50033.jpg
50034,"Homeland Security: A Complete Guide to Understanding, Preventing, and Surviving Terrorism",Mark Sauter,"Homeland Security: A Complete Guide to Understanding, Preventing and Surviving Terrorism is the authoritative textbook on one of the most important topics facing our nation. From complex policy issues to Common terrorist tactics, Homeland Security provides a practical foundation for professionals, students, and concerned citizens alike. Designed for readers who need to understand both the big picture and their own roles in the war against terror, the book provides a clear, comprehensive and fascinating overview of an increasingly complex and misunderstood topic. This indispensable reference, filled with fascinating real-life examples and tips, covers the basics of homeland security such as: national strategies and principles; federal, state and local roles; terrorist history and tactics; cyber-terrorism; business preparedness; critical infrastructure protection; weapons of mass destruction; and key policy issues. Perfect for academic and training classrooms, each chapter includes an overview, learning objectives, source document, discussion topic, summary, and quiz.",3.71,007144064X,9780071440646,April 20th 2005 by McGraw-Hill,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347383133l/50034.jpg
50035,The Golden Apples of the Sun,Ray Bradbury,"Set the controls for the heart of the sun.The Captain bent in the warm air, cursing, felt his hands run over the cold machine, and while he worked he saw a future which was removed from them by the merest breath. He saw the skin peel from the rocket beehive, men thus revealed running, running, mouths shrieking, soundless. Space was a black mossed well where life drowned its roars and terrors. Scream a big scream, but space snuffed it out before it was half up your throat. Men scurried, ants in a flaming matchbox; the ship was dripping lava, gushing steam, nothing!Journey with the century's most popular fantasy writer into a world of wonder and horror beyond your wildest dreams.Contents:- The Fog Horn (1951)- The Pedestrian (1951)- The April Witch (1952)- The Wilderness (1952)- The Fruit at the Bottom of the Bowl (1948)- Invisible Boy (1945)- The Flying Machine (1953)- The Murderer (1953)- The Golden Kite, the Silver Wind (1953)- I See You Never (1947)- Embroidery (1951)- The Big Black and White Game (1945)- A Sound of Thunder (1952)- The Great Wide World Over There (1952)- Powerhouse (1948)- En la Noche (1952)- Sun and Shadow (1953)- The Meadow (1953)- The Garbage Collector (1953)- The Great Fire (1949)- Hail and Farewell (1953)- The Golden Apples of the Sun (1953)",4.07,0380730391,9780380730391,November 1st 1997 by William Morrow (first published March 19th 1953),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407110963l/50035.jpg
